iter	Passed	Remaining
226	25377	86417
227	25512	86383
228	25610	86225
229	25746	86195
230	25862	86095
231	26022	86144
232	26159	86113
233	26269	85992
234	26416	85995
235	26507	85812
236	26653	85807
237	26763	85686
238	26911	85687
239	27014	85545
240	27181	85605
241	27309	85540
242	27426	85440
243	27557	85383
244	27692	85339
245	27846	85352
246	27959	85236
247	28104	85220
248	28215	85099
249	28362	85088
250	28506	85064
251	28622	84958
252	28726	84818
253	28844	84717
254	28953	84588
255	29099	84570
256	29213	84456
257	29361	84443
258	29456	84273
259	29593	84227
260	29700	84094
261	29831	84028
262	29935	83888
263	30084	83872
264	30204	83775
265	30338	83715
266	30454	83608
267	30630	83662
268	30756	83580
269	30866	83454
270	31002	83398
271	31089	83209
272	31226	83157
273	31340	83040
274	31499	83044
275	31624	82957
276	31721	82796
277	31847	82711
278	31958	82587
279	32105	82558
280	32209	82413
281	32369	82414
282	32495	82330
283	32697	82435
284	32959	82688
285	33089	82608
286	33247	82597
287	33347	82442
288	34033	83729
289	34361	84125
290	34829	84858
291	35148	85223
292	35344	85284
293	35488	85220
294	35698	85313
295	35852	85270
296	35974	85152
297	36138	85131
298	36253	84996
299	36440	85027
300	36536	84846
301	36770	84985
302	36931	84953
303	37122	84990
304	37263	84912
305	37374	84763
306	37548	84759
307	37687	84673
308	37837	84614
309	37972	84518
310	38173	84570
311	38314	84487
312	38484	84469
313	38597	84325
314	38738	84240
315	38860	84115
316	39022	84076
317	39122	83903
318	39341	83985
319	39530	84002
320	39716	84010
321	39845	83898
322	40018	83877
323	40167	83806
324	40341	83786
325	40465	83661
326	40655	83672
327	40779	83548
328	40929	83476
329	41068	83381
330	41224	83320
331	41390	83280
332	41569	83263
333	41686	83123
334	41873	83121
335	42039	83078
336	42178	82981
337	42341	82928
338	42446	82764
339	42581	82658
340	42692	82505
341	42853	82449
342	42962	82293
343	43134	82256
344	43243	82099
345	43397	82029
346	43512	81883
347	43655	81790
348	43758	81623
349	43904	81536
350	44032	81415
351	44191	81353
352	44310	81215
353	44453	81121
354	44579	80996
355	44737	80929
356	44841	80764
357	45000	80699
358	45146	80610
359	45304	80541
360	45422	80401
361	45586	80343
362	45684	80168
363	45834	80083
364	45946	79933
365	46103	79862
366	46207	79698
